100~140,70,V,"CM, AM (1KHZ, 80%)",3
140~180,140,V,"CM, AM (1KHZ, 80%)",3
180~200,70,V,"CM, AM (1KHZ, 80%)",3
200~380,70,V+H,"CM, AM (1KHZ, 80%)",3
380~520,140,V+H,"CM, AM (1KHZ, 80%)",3
520~806,70,V+H,"CM, AM (1KHZ, 80%)",3
806~915,140,V+H,"CW , Pulse(Duration =577 μs,)",3
915~1000,70,V+H,CW,3
1000~1200,70,V+H,CW,3
1200~1400,140,V+H,"CW , Pulse(Duration =577 μs)",3
1400~1710,70,V+H,CW,3
1710~1980,140,V+H,"CW , Pulse(Duration =577 μs)",3
1980~2700,70,V+H,CW,3
2700~3200,140,V+H,"CW , Pulse(Duration =577 μs)",3
