No. Band name,Unnamed: 0,Frequency,PK,Unnamed: 1,QP,Unnamed: 2,AV,Unnamed: 3
,,,Limits,Bandwidth,Limits,Bandwidth,Limits,Bandwidth
,,MHz,dB(μV),KHz,dB(μV),KHz,dB(μV),KHz
Basic Limits,,,,,,,,
B1,,0.28~0.52,100 – 59.51,120,-,-,80 – 59.51,120
,,,·lg(f/0.28),,,,·lg(f/0.28),
B2,,0.52~30,84,120,-,-,64,120
B3,,30~108,72,1000,-,-,52,1000
Broadcast,,,,,,,,
1 125kHz,,0.1~0.15,73,9,-,-,-,-
2 LW,,0.15~0.28,70,9,57,9,50,9
3 MW,,0.52~1.73,54,9,41,9,34,9
4 SW 75m,,3.85~4.0,53,9,40,9,33,9
5 SW 49m,,5.8~6.3,53,9,40,9,33,9
6 SW 41m,,7.1~7.6,53,9,40,9,33,9
7 SW 31m,,9.3~10.0,53,9,40,9,33,9
8 SW 25m,,11.5~12.1,53,9,40,9,33,9
9 SW 22m,,13.5~13.9,53,9,40,9,33,9
10 SW 19m,,15.0~15.8,53,9,40,9,33,9
11 SW 16m,,17.4~17.9,53,9,40,9,33,9
12 SW 15m,,18.9~19.1,53,9,40,9,33,9
13 SW 13m,,21.4~21.9,53,9,40,9,33,9
14 SW 11m,,25.6~26.1,53,9,40,9,33,9
15 USW,,76~108,32,120,19,120,12,120
19 TV I,,47~88,48,1000,-,-,33,1000
20 TV II,,90~108,43,1000,-,-,28,1000
Mobile service,,,,,,,,
25 4m/BOS,,84.015~,41,120,-,-,8,9
,,87.255,,,,,,
