No.,Band name,Frequency,PK,QP,AV,Unnamed: 0,Unnamed: 1,Unnamed: 2
,,,Limits,Bandwidth,Limits,Bandwidth,Limits,Bandwidth
,,,dB(μV),KHz,dB(μV),KHz,dB(μV),KHz
Basic limits,,,,,,,,
B4,,0.28~30,80,120,-,-,60,120
Broadcast,,,,,,,,
1,125kHz,0.1~0.15,53,9,-,-,-,-
2,LW,0.15~0.28,53,9,40,9,33,9
3,MW,0.52~1.73,50,9,37,9,30,9
4,SW 75m,3.85~4.0,50,9,37,9,30,9
5,SW 49m,5.8~6.3,50,9,37,9,30,9
6,SW 41m,7.1~7.6,50,9,37,9,30,9
7,SW 31m,9.3~10.0,50,9,37,9,30,9
8,SW 25m,11.5~12.1,50,9,37,9,30,9
9,SW 22m,13.5~13.9,50,9,37,9,30,9
10,SW 19m,15.0~15.8,50,9,37,9,30,9
11,SW 16m,17.4~17.9,50,9,37,9,30,9
12,SW 15m,18.9~19.1,50,9,37,9,30,9
13,SW 13m,21.4~21.9,50,9,37,9,30,9
14,SW 11m,25.6~26.1,50,9,37,9,30,9
