N Band name,Unnamed: 0,Frequency,PK,Unnamed: 1,QP,Unnamed: 2,AV,Unnamed: 3
o.,,,Limits,Bandwi,Limit,Bandwi,Limits,Bandwi
,,,,dth,s,dth,,dth
,,MHz,dB(μV),KHz,dB(μ,KHz,dB(μV),KHz
,,,,,V),,,
Basic Limits,,,,,,,,
B,,0.28~30,72,120,-,-,62,120
5,,,,,,,,
B,,30~75,68 –,1000,-,-,58 –,1000
6,,,25.13,,,,25.13,
,,,· lg(f/,,,,· lg(f/,
,,,30),,,,30),
,,,1),,,,1),
B,,75~400,58 +,1000,-,-,48 +,1000
7,,,15.13,,,,15.13,
,,,· lg(f/,,,,· lg(f/,
,,,75),,,,75),
,,,1),,,,1),
B,,400~1000,69,1000,-,,59,1000
8,,,,,,,,
Other limits,,,,,,,,
1 125kHz,,0.1~0.15,41,9,-,-,-,-
2 LW,,0.15~0.28,41,9,28,9,21,9
3 MW,,0.52~1.73,38,9,25,9,18,9
4 SW75m,,3.85~4.0,38,9,25,9,18,9
5 SW49m,,5.8~6.3,38,9,25,9,18,9
6 SW41m,,7.1~7.6,38,9,25,9,18,9
7 SW31m,,9.3~10.0,38,9,25,9,18,9
8 SW25m,,11.5~12.1,38,9,25,9,18,9
9 SW22m,,13.5~13.9,38,9,25,9,18,9
10 SW19m,,15.0~15.8,38,9,25,9,18,9
11 SW16m,,17.4~17.9,38,9,25,9,18,9
12 SW15m,,18.9~19.1,38,9,25,9,18,9
13 SW13m,,21.4~21.9,38,9,25,9,18,9
14 SW11m,,25.6~26.1,38,9,25,9,18,9
15 USW,,76~108,32,120,19,120,12,120
16 DAB,,174~241,32,1000,-,-,22,1000
17 DAB(L-Ban,,1452~1492,45,1000,-,-,35,1000
d),,,,,,,,
18 SDARS,,2320~2345,56,1000,-,-,46,1000
19 TV I,,47~88,38,1000,-,-,23,1000
