20,TV II,90~108,37,1000,-,-.1,22,1000.1
21,TV III,170~230,37,1000,-,-,22.0,1000.0
22,TV IV/V,470~862,44,1000,-,-,29.0,1000.0
23,GPS,1574~1577,-,-,-,-,20.0,9.0
Mobile service,,,,,,,,
25,4m/BOS,"84.015~87.255",35,120,-,-,2.0,9.0
26,2m/Taxi,146~164,35,120,-,-,2.0,9.0
27,2m/BOS,"167.56~169.38",35,120,-,-,2.0,9.0
28,2m/BOS,"172.16~173.98",35,120,-,-,2.0,9.0
29,ISM,313~317,34,9,-,-,14.0,9.0
30,TETRA,390~400,39,120,-,-,19.0,120.0
31,TETRA,420~430,39,120,-,-,19.0,120.0
32,ISM,433~435,34,9,-,-,14.0,9.0
33,TETRA,460~470,39,120,-,-,19.0,120.0
34,"PDC.D-AMPS",851~894,51,120,-,-,31.0,120.0
35,ISM,868~876,40,9,-,-,20.0,9.0
36,GSM-900,925~960,51,120,-,-,31.0,120.0
37,PDC,1477~1501,51,120,-,-,31.0,120.0
38,GSM-1800,1805~1880,51,120,-,-,31.0,120.0
39,UMTS,1900~1920,55,1000,-,-,35.0,1000.0
40,GSM-1900,1930~1990,51,120,-,-,31.0,120.0
41,UMTS,2010~2025,55,1000,-,-,35.0,1000.0
42,"UMTS.WCDMA",2110~2170,55,1000,-,-,35.0,1000.0
43,Bluetooth.,2402~2497,66,1000,-,-,46.0,1000.0
,WLAN,,,,,,,
44,IMT-2000,2500~2570,66,1000,-,-,46.0,1000.0
45,IMT-2000,2620~2690,66,1000,-,-,46.0,1000.0
